0	x o1 ŋ͡m
pan	p a1 n
pao	p a1 w
páp	p a5 p
pát	p a5 t
patch	p æ5 ʧ
pe	p ɛ1
pê	p e1
pen	p ɛ1 n
pha	f a1
phá	f a5
phà	f a2
phả	f a4
phác	f a5 k
phắc	f ă5 k
phạc	f a6 k
phách	f a5 tʃ
phạch	f a6 tʃ
phai	f a1 j
phái	f a5 j
phải	f a4 j
phàm	f a2 m
phăm	f ă1 m
phầm	f ɤ̆2 m
phẩm	f ɤ̆4 m
phạm	f a6 m
phan	f a1 n
phán	f a5 n
phàn	f a2 n
phân	f ɤ̆1 n
phăn	f ă1 n
phấn	f ɤ̆5 n
phần	f ɤ̆2 n
phắn	f ă5 n
phẫn	f ɤ̆3 n
phản	f a4 n
phẩn	f ɤ̆4 n
phạn	f a6 n
phận	f ɤ̆6 n
phang	f a1 ŋ
phàng	f a2 ŋ
phăng	f ă1 ŋ
phảng	f a4 ŋ
phẳng	f ă4 ŋ
phạng	f a6 ŋ
phanh	f ɛ1 ɲ
phành	f ɛ2 ɲ
phao	f a1 w
pháo	f a5 w
phào	f a2 w
pháp	f a5 p
phấp	f ɤ̆5 p
phắp	f ă5 p
phập	f ɤ̆6 p
phát	f a5 t
phất	f ɤ̆5 t
phắt	f ă5 t
phạt	f a6 t
phật	f ɤ̆6 t
phau	f ă1 w
phẫu	f ɤ̆3 w
phẩu	f ɤ̆4 w
phay	f ă1 j
phây	f ɤ̆1 j
phảy	f ă4 j
phẩy	f ɤ̆4 j
phe	f ɛ1
phè	f ɛ2
phê	f e1
phế	f e5
phề	f e2
phệ	f e6
phếch	f e5 tʃ
phen	f ɛ1 n
phèn	f ɛ2 n
phên	f e1 n
phễn	f e3 n
phéng	f ɛ5 ŋ
phèng	f ɛ2 ŋ
phềnh	f e2 ɲ
phệnh	f e6 ɲ
pheo	f eo1
phèo	f eo2
phép	f ɛ5 p
phét	f ɛ5 t
phết	f e5 t
phẹt	f ɛ6 t
phệt	f e6 t
phều	f ɛu2
phễu	f ɛu3
phi	f i1
phí	f i5
phì	f i2
phỉ	f i4
phị	f i6
phía	f iə5
phìa	f iə2
phịa	f iə6
phích	f i5 tʃ
phịch	f i6 tʃ
phiếm	f iə5 m
phiên	f iə1 n
phiến	f iə5 n
phiền	f iə2 n
phiện	f iə6 n
phiết	f iə5 t
phiệt	f iə6 t
phiêu	f iə1 w
phiếu	f iə5 w
phim	f i1 m
phím	f i5 m
phin	f i1 n
phìn	f i2 n
phinh	f i1 ɲ
phính	f i5 ɲ
phình	f i2 ɲ
phĩnh	f i3 ɲ
phỉnh	f i4 ɲ
phịt	f i6 t
phiu	f i1 w
phịu	f i6 w
pho	f ɔ1
phó	f ɔ5
phò	f ɔ2
phô	f o1
phố	f o5
phồ	f o2
phơ	f ɤ1
phổ	f o4
phớ	f ɤ5
phờ	f ɤ2
phở	f ɤ4
phóc	f ɔ5 k͡p
phốc	f o5 k͡p
phoi	f ɔ1 j
phòi	f ɔ2 j
phôi	f o1 j
phối	f o5 j
phơi	f ɤ1 j
phổi	f o4 j
phới	f ɤ5 j
phom	f ɔ1 m
phôm	f o1 m
phồm	f o2 m
phồn	f o2 n
phơn	f ɤ1 n
phỡn	f ɤ3 n
phong	f ɔ1 ŋ͡m
phóng	f ɔ5 ŋ͡m
phòng	f ɔ2 ŋ͡m
phông	f o1 ŋ͡m
phồng	f o2 ŋ͡m
phỗng	f o3 ŋ͡m
phỏng	f ɔ4 ŋ͡m
phổng	f o4 ŋ͡m
phọng	f ɔ6 ŋ͡m
phộng	f o6 ŋ͡m
phốp	f o5 p
phót	f ɔ5 t
phốt	f o5 t
phọt	f ɔ6 t
phớt	f ɤ5 t
phu	f u1
phú	f u5
phù	f u2
phũ	f u3
phủ	f u4
phụ	f u6
phứa	f ɯə5
phựa	f ɯə6
phúc	f u5 k͡p
phục	f u6 k͡p
phức	f ɯ5 k
phui	f u1 j
phủi	f u4 j
phun	f u1 n
phún	f u5 n
phùn	f u2 n
phung	f u1 ŋ͡m
phúng	f u5 ŋ͡m
phùng	f u2 ŋ͡m
phưng	f ɯ1 ŋ
phụng	f u6 ŋ͡m
phừng	f ɯ2 ŋ
phước	f ɯə5 k
phướn	f ɯə5 n
phưỡn	f ɯə3 n
phương	f ɯə1 ŋ
phướng	f ɯə5 ŋ
phường	f ɯə2 ŋ
phượng	f ɯə6 ŋ
phượu	f ɯə6 w
phút	f u5 t
phụt	f u6 t
phứt	f ɯ5 t
phựt	f ɯ6 t
phuy	fw ʷi1
pi	p i1
pí	p i5
piêu	p iə1 w
pin	p i1 n
ping	p i1 ŋ
pô	p o1
pơ	p ɤ1
pờ	b ɤ2
pom	p ɔ1 m
pông	p o1 ŋ͡m
pop	p ɔ1 p
pu	p u1
q	k j u5
qua	kw a1
quá	kw a5
quà	kw a2
quả	kw a4
quạ	kw a6
quác	kw a5 k
quấc	kw ɤ̆5 k
quắc	kw ă5 k
quạc	kw a6 k
quặc	kw ă6 k
quách	kw a5 tʃ
quạch	kw a6 tʃ
quai	kw a1 j
quái	kw a5 j
quài	kw a2 j
quải	kw a4 j
quại	kw a6 j
quăm	kw ă1 m
quắm	kw ă5 m
quằm	kw ă2 m
quẳm	kw ă4 m
quặm	kw ă6 m
quan	kw a1 n
quán	kw a5 n
quàn	kw a2 n
quân	kw ɤ̆1 n
quăn	kw ă1 n
quấn	kw ɤ̆5 n
quần	kw ɤ̆2 n
quắn	kw ă5 n
quằn	kw ă2 n
quẫn	kw ɤ̆3 n
quản	kw a4 n
quẩn	kw ɤ̆4 n
quận	kw ɤ̆6 n
quặn	kw ă6 n
quang	kw a1 ŋ
quáng	kw a5 ŋ
quàng	kw a2 ŋ
quăng	kw ă1 ŋ
quãng	kw a3 ŋ
quầng	kw ɤ̆2 ŋ
quẫng	kw ɤ̆3 ŋ
quảng	kw a4 ŋ
quẩng	kw ɤ̆4 ŋ
quẳng	kw ă4 ŋ
quạng	kw a6 ŋ
quặng	kw ă6 ŋ
quanh	kw ɛ1 ɲ
quánh	kw ɛ5 ɲ
quành	kw ɛ2 ɲ
quạnh	kw ɛ6 ɲ
quao	kw a1 w
quáo	kw a5 w
quào	kw a2 w
quắp	kw ă5 p
quặp	kw ă6 p
quát	kw a5 t
quất	kw ɤ̆5 t
quắt	kw ă5 t
quạt	kw a6 t
quật	kw ɤ̆6 t
quặt	kw ă6 t
quau	kw ă1 w
quáu	kw ă5 w
quàu	kw ă2 w
quạu	kw ă6 w
quay	kw ă1 j
quày	kw ă2 j
quây	kw ɤ̆1 j
quấy	kw ɤ̆5 j
quầy	kw ɤ̆2 j
quẫy	kw ɤ̆3 j
quảy	kw ă4 j
quẩy	kw ɤ̆4 j
quạy	kw ă6 j
quậy	kw ɤ̆6 j
que	kw ɛ1
qué	kw ɛ5
què	kw ɛ2
quê	kw e1
quẽ	kw ɛ3
quế	kw e5
quẻ	kw ɛ4
quệ	kw e6
quệch	kw e6 tʃ
quen	kw ɛ1 n
quén	kw ɛ5 n
quèn	kw ɛ2 n
quên	kw e1 n
quện	kw e6 n
quềnh	kw e2 ɲ
quệnh	kw e6 ɲ
queo	kw eo1
quéo	kw eo5
quèo	kw eo2
quẹo	kw eo6
quét	kw ɛ5 t
quết	kw e5 t
quẹt	kw ɛ6 t
quệt	kw e6 t
quếu	kw ɛu5
quều	kw ɛu2
qui	kw i1
quí	kw i5
quì	kw i2
quĩ	kw i3
quỉ	kw i4
quị	kw i6
quít	kw i5 t
quịt	kw i6 t
quơ	kw ɤ1
quớ	kw ɤ5
quờ	kw ɤ2
quở	kw ɤ4
quoàng	kw ʷa2 ŋ
quoạng	kw ʷa6 ŋ
quoắt	kw ʷă5 t
quốc	kw o5 k͡p
quới	kw ɤ5 j
quờn	kw ɤ2 n
quớt	kw ɤ5 t
quuyết	kw ʷiə5 t
quy	kw i1
quý	kw i5
quỳ	kw i2
quỹ	kw i3
quỷ	kw i4
quỵ	kw i6
qúy	kw i5
qùy	kw i2
qũy	kw i3
qụy	kw i6
quyên	kw iɛ1 n
quyến	kw iɛ5 n
quyền	kw iɛ2 n
quyển	kw iɛ4 n
quyện	kw iɛ6 n
quyết	kw iɛ5 t
quyệt	kw iɛ6 t
quýnh	kw i5 ɲ
quỳnh	kw i2 ɲ
quỷnh	kw i4 ɲ
quýt	kw i5 t
quỵt	kw i6 t
r	a5 r
ra	ʐ a1
rá	ʐ a5
rà	ʐ a2
rã	ʐ a3
rả	ʐ a4
rạ	ʐ a6
rác	ʐ a5 k
rắc	ʐ ă5 k
rạc	ʐ a6 k
rặc	ʐ ă6 k
rách	ʐ a5 tʃ
rạch	ʐ a6 tʃ
radio	r eɪ5 d i5 oʊ5
rai	ʐ a1 j
rái	ʐ a5 j
rài	ʐ a2 j
rãi	ʐ a3 j
rải	ʐ a4 j
ram	ʐ a1 m
rám	ʐ a5 m
râm	ʐ ɤ̆1 m
răm	ʐ ă1 m
rấm	ʐ ɤ̆5 m
rầm	ʐ ɤ̆2 m
rắm	ʐ ă5 m
rằm	ʐ ă2 m
rẫm	ʐ ɤ̆3 m
rẩm	ʐ ɤ̆4 m
rạm	ʐ a6 m
rậm	ʐ ɤ̆6 m
rặm	ʐ ă6 m
ran	ʐ a1 n
rán	ʐ a5 n
ràn	ʐ a2 n
rân	ʐ ɤ̆1 n
răn	ʐ ă1 n
rấn	ʐ ɤ̆5 n
rần	ʐ ɤ̆2 n
rắn	ʐ ă5 n
rằn	ʐ ă2 n
rạn	ʐ a6 n
rận	ʐ ɤ̆6 n
rặn	ʐ ă6 n
rang	ʐ a1 ŋ
ráng	ʐ a5 ŋ
ràng	ʐ a2 ŋ
răng	ʐ ă1 ŋ
rằng	ʐ ă2 ŋ
rạng	ʐ a6 ŋ
rặng	ʐ ă6 ŋ
ranh	ʐ ɛ1 ɲ
rành	ʐ ɛ2 ɲ
rãnh	ʐ ɛ3 ɲ
rảnh	ʐ ɛ4 ɲ
rao	ʐ a1 w
ráo	ʐ a5 w
rào	ʐ a2 w
rão	ʐ a3 w
rảo	ʐ a4 w
rạo	ʐ a6 w
ráp	ʐ a5 p
rấp	ʐ ɤ̆5 p
rắp	ʐ ă5 p
rạp	ʐ a6 p
rập	ʐ ɤ̆6 p
rát	ʐ a5 t
rất	ʐ ɤ̆5 t
rắt	ʐ ă5 t
rạt	ʐ a6 t
rật	ʐ ɤ̆6 t
rặt	ʐ ă6 t
rau	ʐ ă1 w
râu	ʐ ɤ̆1 w
rầu	ʐ ɤ̆2 w
ray	ʐ ă1 j
ráy	ʐ ă5 j
rày	ʐ ă2 j
rây	ʐ ɤ̆1 j
rãy	ʐ ă3 j
rầy	ʐ ɤ̆2 j
rẫy	ʐ ɤ̆3 j
rảy	ʐ ă4 j
rẩy	ʐ ɤ̆4 j
rạy	ʐ ă6 j
re	ʐ ɛ1
ré	ʐ ɛ5
rè	ʐ ɛ2
rê	ʐ e1
rẽ	ʐ ɛ3
rế	ʐ e5
rề	ʐ e2
rễ	ʐ e3
rẻ	ʐ ɛ4
rể	ʐ e4
rệ	ʐ e6
real	r i5 l
rếch	ʐ e5 tʃ
rệch	ʐ e6 tʃ
rem	ʐ ɛ1 m
rèm	ʐ ɛ2 m
ren	ʐ ɛ1 n
rén	ʐ ɛ5 n
rèn	ʐ ɛ2 n
rên	ʐ e1 n
rến	ʐ e5 n
rền	ʐ e2 n
rện	ʐ e6 n
reng	ʐ ɛ1 ŋ
rẻng	ʐ ɛ4 ŋ
rềnh	ʐ e2 ɲ
rểnh	ʐ e4 ɲ
reo	ʐ eo1
réo	ʐ eo5
rèo	ʐ eo2
rẻo	ʐ eo4
rẹo	ʐ eo6
rếp	ʐ e5 p
rệp	ʐ e6 p
rét	ʐ ɛ5 t
rết	ʐ e5 t
rẹt	ʐ ɛ6 t
rệt	ʐ e6 t
rêu	ʐ ɛu1
rều	ʐ ɛu2
rệu	ʐ ɛu6
ri	ʐ i1
rí	ʐ i5
rì	ʐ i2
rĩ	ʐ i3
rỉ	ʐ i4
rị	ʐ i6
ria	ʐ iə1
rià	ʐ iə2
rìa	ʐ iə2
rỉa	ʐ iə4
rịa	ʐ iə6
rích	ʐ i5 tʃ
rịch	ʐ i6 tʃ
riềm	ʐ iə2 m
riêng	ʐ iə1 ŋ
riềng	ʐ iə2 ŋ
riếp	ʐ iə5 p
riết	ʐ iə5 t
riệt	ʐ iə6 t
riêu	ʐ iə1 w
riếu	ʐ iə5 w
rim	ʐ i1 m
rin	ʐ i1 n
rịn	ʐ i6 n
rinh	ʐ i1 ɲ
rình	ʐ i2 ɲ
rĩnh	ʐ i3 ɲ
rỉnh	ʐ i4 ɲ
rít	ʐ i5 t
rịt	ʐ i6 t
riu	ʐ i1 w
ríu	ʐ i5 w
rìu	ʐ i2 w
ro	ʐ ɔ1
ró	ʐ ɔ5
rò	ʐ ɔ2
rô	ʐ o1
rõ	ʐ ɔ3
rồ	ʐ o2
rỗ	ʐ o3
rỏ	ʐ ɔ4
rơ	ʐ ɤ1
rổ	ʐ o4
rọ	ʐ ɔ6
rớ	ʐ ɤ5
rờ	ʐ ɤ2
rỡ	ʐ ɤ3
rộ	ʐ o6
rở	ʐ ɤ4
rợ	ʐ ɤ6
roa	ʐw ʷa1
roá	ʐw ʷa5
robot	r o1 b o1 t
róc	ʐ ɔ5 k͡p
rốc	ʐ o5 k͡p
rọc	ʐ ɔ6 k͡p
rộc	ʐ o6 k͡p
rock	r a5 k
roi	ʐ ɔ1 j
rói	ʐ ɔ5 j
ròi	ʐ ɔ2 j
rõi	ʐ ɔ3 j
rối	ʐ o5 j
rồi	ʐ o2 j
rỗi	ʐ o3 j
rỏi	ʐ ɔ4 j
rơi	ʐ ɤ1 j
rổi	ʐ o4 j
rọi	ʐ ɔ6 j
rời	ʐ ɤ2 j
rợi	ʐ ɤ6 j
rom	ʐ ɔ1 m
róm	ʐ ɔ5 m
ròm	ʐ ɔ2 m
rôm	ʐ o1 m
rồm	ʐ o2 m
rỏm	ʐ ɔ4 m
rơm	ʐ ɤ1 m
rọm	ʐ ɔ6 m
rớm	ʐ ɤ5 m
rờm	ʐ ɤ2 m
rộm	ʐ o6 m
rởm	ʐ ɤ4 m
rợm	ʐ ɤ6 m
rón	ʐ ɔ5 n
rôn	ʐ o1 n
rốn	ʐ o5 n
rỏn	ʐ ɔ4 n
rơn	ʐ ɤ1 n
rờn	ʐ ɤ2 n
rỡn	ʐ ɤ3 n
rộn	ʐ o6 n
rởn	ʐ ɤ4 n
rợn	ʐ ɤ6 n
rong	ʐ ɔ1 ŋ͡m
róng	ʐ ɔ5 ŋ͡m
ròng	ʐ ɔ2 ŋ͡m
rông	ʐ o1 ŋ͡m
rống	ʐ o5 ŋ͡m
rồng	ʐ o2 ŋ͡m
rỗng	ʐ o3 ŋ͡m
rổng	ʐ o4 ŋ͡m
rộng	ʐ o6 ŋ͡m
rốp	ʐ o5 p
rộp	ʐ o6 p
rợp	ʐ ɤ6 p
rót	ʐ ɔ5 t
rốt	ʐ o5 t
rọt	ʐ ɔ6 t
rớt	ʐ ɤ5 t
rợt	ʐ ɤ6 t
ru	ʐ u1
rú	ʐ u5
rù	ʐ u2
rũ	ʐ u3
rủ	ʐ u4
rư	ʐ ɯ1
rứ	ʐ ɯ5
rua	ʐ uə1
rùa	ʐ uə2
rũa	ʐ uə3
rủa	ʐ uə4
rưa	ʐ ɯə1
rứa	ʐ ɯə5
rữa	ʐ ɯə3
rửa	ʐ ɯə4
rựa	ʐ ɯə6
rúc	ʐ u5 k͡p
rục	ʐ u6 k͡p
rức	ʐ ɯ5 k
rực	ʐ ɯ6 k
rui	ʐ u1 j
rúi	ʐ u5 j
rủi	ʐ u4 j
rụi	ʐ u6 j
rum	ʐ u1 m
rúm	ʐ u5 m
rùm	ʐ u2 m
run	ʐ u1 n
rún	ʐ u5 n
rùn	ʐ u2 n
rủn	ʐ u4 n
rung	ʐ u1 ŋ͡m
rúng	ʐ u5 ŋ͡m
rùng	ʐ u2 ŋ͡m
rủng	ʐ u4 ŋ͡m
rưng	ʐ ɯ1 ŋ
rụng	ʐ u6 ŋ͡m
rừng	ʐ ɯ2 ŋ
rửng	ʐ ɯ4 ŋ
ruốc	ʐ uə5 k
rước	ʐ ɯə5 k
ruối	ʐ uə5 j
ruồi	ʐ uə2 j
ruổi	ʐ uə4 j
rươi	ʐ ɯə1 j
rưới	ʐ ɯə5 j
rười	ʐ ɯə2 j
rưỡi	ʐ ɯə3 j
rưởi	ʐ ɯə4 j
rượi	ʐ ɯə6 j
ruộm	ʐ uə6 m
rươm	ʐ ɯə1 m
rướm	ʐ ɯə5 m
rườm	ʐ ɯə2 m
rướn	ʐ ɯə5 n
rườn	ʐ ɯə2 n
rượn	ʐ ɯə6 n
ruồng	ʐ uə2 ŋ
ruỗng	ʐ uə3 ŋ
ruộng	ʐ uə6 ŋ
rương	ʐ ɯə1 ŋ
rường	ʐ ɯə2 ŋ
ruột	ʐ uə6 t
rượt	ʐ ɯə6 t
rượu	ʐ ɯə6 w
rúp	ʐ u5 p
rút	ʐ u5 t
rụt	ʐ u6 t
rứt	ʐ ɯ5 t
rỵn	ʐ i6 n
s	ɛ5 s
sa	ʂ a1
sá	ʂ a5
sà	ʂ a2
sã	ʂ a3
sả	ʂ a4
sạ	ʂ a6
sác	ʂ a5 k
sắc	ʂ ă5 k
sạc	ʂ a6 k
sặc	ʂ ă6 k
sách	ʂ a5 tʃ
sạch	ʂ a6 tʃ
sai	ʂ a1 j
sái	ʂ a5 j
sài	ʂ a2 j
sãi	ʂ a3 j
sải	ʂ a4 j
sam	ʂ a1 m
sám	ʂ a5 m
sàm	ʂ a2 m
sâm	ʂ ɤ̆1 m
săm	ʂ ă1 m
sấm	ʂ ɤ̆5 m
sầm	ʂ ɤ̆2 m
sắm	ʂ ă5 m
sẫm	ʂ ɤ̆3 m
sẩm	ʂ ɤ̆4 m
sạm	ʂ a6 m
sậm	ʂ ɤ̆6 m
sặm	ʂ ă6 m
san	ʂ a1 n
sán	ʂ a5 n
sàn	ʂ a2 n
sân	ʂ ɤ̆1 n
săn	ʂ ă1 n
sấn	ʂ ɤ̆5 n
sần	ʂ ɤ̆2 n
sắn	ʂ ă5 n
sẵn	ʂ ă3 n
sản	ʂ a4 n
sẩn	ʂ ɤ̆4 n
sạn	ʂ a6 n
sang	ʂ a1 ŋ
sáng	ʂ a5 ŋ
sàng	ʂ a2 ŋ
săng	ʂ ă1 ŋ
sắng	ʂ ă5 ŋ
sằng	ʂ ă2 ŋ
sảng	ʂ a4 ŋ
sanh	ʂ ɛ1 ɲ
sánh	ʂ ɛ5 ɲ
sành	ʂ ɛ2 ɲ
sảnh	ʂ ɛ4 ɲ
sao	ʂ a1 w
sáo	ʂ a5 w
sào	ʂ a2 w
sảo	ʂ a4 w
sạo	ʂ a6 w
sáp	ʂ a5 p
sấp	ʂ ɤ̆5 p
sắp	ʂ ă5 p
sạp	ʂ a6 p
sập	ʂ ɤ̆6 p
sát	ʂ a5 t
sất	ʂ ɤ̆5 t
sắt	ʂ ă5 t
sạt	ʂ a6 t
sật	ʂ ɤ̆6 t
sặt	ʂ ă6 t
sau	ʂ ă1 w
sáu	ʂ ă5 w
sâu	ʂ ɤ̆1 w
sấu	ʂ ɤ̆5 w
sầu	ʂ ɤ̆2 w
sậu	ʂ ɤ̆6 w
say	ʂ ă1 j
sây	ʂ ɤ̆1 j
sấy	ʂ ɤ̆5 j
sầy	ʂ ɤ̆2 j
sảy	ʂ ă4 j
sẩy	ʂ ɤ̆4 j
sậy	ʂ ɤ̆6 j
se	ʂ ɛ1
sè	ʂ ɛ2
sê	ʂ e1
sẽ	ʂ ɛ3
sề	ʂ e2
sễ	ʂ e3
sẻ	ʂ ɛ4
sể	ʂ e4
sẹ	ʂ ɛ6
sệ	ʂ e6
séc	ʂ ɛ5 k
sém	ʂ ɛ5 m
sẹm	ʂ ɛ6 m
sen	ʂ ɛ1 n
sên	ʂ e1 n
sến	ʂ e5 n
sền	ʂ e2 n
sẻn	ʂ ɛ4 n
sênh	ʂ e1 ɲ
sểnh	ʂ e4 ɲ
seo	ʂ eo1
sèo	ʂ eo2
sẹo	ʂ eo6
sếp	ʂ e5 p
sệp	ʂ e6 p
sét	ʂ ɛ5 t
sệt	ʂ e6 t
sêu	ʂ ɛu1
sếu	ʂ ɛu5
sex	s ɛ5 k s
shop	ʃ a5 p
si	ʂ i1
sí	ʂ i5
sì	ʂ i2
sĩ	ʂ i3
sỉ	ʂ i4
sị	ʂ i6
sỉa	ʂ iə4
sịa	ʂ iə6
sịch	ʂ i6 tʃ
siểm	ʂ iə4 m
siễn	ʂ iə3 n
siêng	ʂ iə1 ŋ
siểng	ʂ iə4 ŋ
siết	ʂ iə5 t
siêu	ʂ iə1 w
sim	ʂ i1 m
sin	ʂ i1 n
sinh	ʂ i1 ɲ
sính	ʂ i5 ɲ
sình	ʂ i2 ɲ
sỉnh	ʂ i4 ɲ
sít	ʂ i5 t
sịt	ʂ i6 t
siu	ʂ i1 w
slìn	s l n
so	ʂ ɔ1
sò	ʂ ɔ2
sô	ʂ o1
số	ʂ o5
sồ	ʂ o2
sỗ	ʂ o3
sỏ	ʂ ɔ4
sơ	ʂ ɤ1
sổ	ʂ o4
sọ	ʂ ɔ6
sớ	ʂ ɤ5
sờ	ʂ ɤ2
sỡ	ʂ ɤ3
sộ	ʂ o6
sở	ʂ ɤ4
sợ	ʂ ɤ6
soa	ʂw ʷa1
soà	ʂw ʷa2
sòa	ʂw ʷa2
soái	ʂw a5 j
soài	ʂw a2 j
soán	ʂw ʷa5 n
soạn	ʂw ʷa6 n
soạng	ʂw ʷa6 ŋ
soát	ʂw ʷa5 t
soạt	ʂw ʷa6 t
sóc	ʂ ɔ5 k͡p
sốc	ʂ o5 k͡p
sọc	ʂ ɔ6 k͡p
soi	ʂ ɔ1 j
sói	ʂ ɔ5 j
sòi	ʂ ɔ2 j
sôi	ʂ o1 j
sõi	ʂ ɔ3 j
sồi	ʂ o2 j
sỏi	ʂ ɔ4 j
sổi	ʂ o4 j
sới	ʂ ɤ5 j
sởi	ʂ ɤ4 j
sợi	ʂ ɤ6 j
sol	s a5 l
sóm	ʂ ɔ5 m
sòm	ʂ ɔ2 m
sơm	ʂ ɤ1 m
sọm	ʂ ɔ6 m
sớm	ʂ ɤ5 m
sờm	ʂ ɤ2 m
son	ʂ ɔ1 n
són	ʂ ɔ5 n
sòn	ʂ ɔ2 n
sồn	ʂ o2 n
sơn	ʂ ɤ1 n
sớn	ʂ ɤ5 n
sờn	ʂ ɤ2 n
sởn	ʂ ɤ4 n
song	ʂ ɔ1 ŋ͡m
sóng	ʂ ɔ5 ŋ͡m
sòng	ʂ ɔ2 ŋ͡m
sông	ʂ o1 ŋ͡m
sõng	ʂ ɔ3 ŋ͡m
sống	ʂ o5 ŋ͡m
sồng	ʂ o2 ŋ͡m
sổng	ʂ o4 ŋ͡m
soóc	ʂ ɔ5 k͡p
sóoc	ʂ ɔ5 k͡p
soong	ʂ ɔ1 ŋ͡m
sốp	ʂ o5 p
sộp	ʂ o6 p
sót	ʂ ɔ5 t
sốt	ʂ o5 t
sọt	ʂ ɔ6 t
sớt	ʂ ɤ5 t
sột	ʂ o6 t
stand	s t æ5 n d
stick	s t ɪ5 k
stress	s t r ɛ5 s
studio	s t u5 d i1 oʊ5
su	ʂ u1
sú	ʂ u5
sù	ʂ u2
sư	ʂ ɯ1
sụ	ʂ u6
sứ	ʂ ɯ5
sử	ʂ ɯ4
sự	ʂ ɯ6
sủa	ʂ uə4
sưa	ʂ ɯə1
sụa	ʂ uə6
sứa	ʂ ɯə5
sữa	ʂ ɯə3
sửa	ʂ ɯə4
suất	ʂw ʷɤ̆5 t
súc	ʂ u5 k͡p
sục	ʂ u6 k͡p
sức	ʂ ɯ5 k
sực	ʂ ɯ6 k
suê	ʂw ʷe1
sui	ʂ u1 j
sùi	ʂ u2 j
sủi	ʂ u4 j
sum	ʂ u1 m
sùm	ʂ u2 m
sụm	ʂ u6 m
sun	ʂ u1 n
sún	ʂ u5 n
sụn	ʂ u6 n
sừn	ʂ ɯ2 n
sung	ʂ u1 ŋ͡m
súng	ʂ u5 ŋ͡m
sùng	ʂ u2 ŋ͡m
sũng	ʂ u3 ŋ͡m
sủng	ʂ u4 ŋ͡m
sưng	ʂ ɯ1 ŋ
sừng	ʂ ɯ2 ŋ
sững	ʂ ɯ3 ŋ
sửng	ʂ ɯ4 ŋ
sựng	ʂ ɯ6 ŋ
suối	ʂ uə5 j
sưởi	ʂ ɯə4 j
suôn	ʂ uə1 n
sườn	ʂ ɯə2 n
suông	ʂ uə1 ŋ
suồng	ʂ uə2 ŋ
sương	ʂ ɯə1 ŋ
sướng	ʂ ɯə5 ŋ
sường	ʂ ɯə2 ŋ
sượng	ʂ ɯə6 ŋ
suốt	ʂ uə5 t
sưót	s t
sướt	ʂ ɯə5 t
sượt	ʂ ɯə6 t
súp	ʂ u5 p
sụp	ʂ u6 p
sút	ʂ u5 t
sụt	ʂ u6 t
sứt	ʂ ɯ5 t
sựt	ʂ ɯ6 t
sưu	ʂ ɯ1 w
sửu	ʂ ɯ4 w
suy	ʂw ʷi1
súy	ʂ u5 j
suyến	ʂw ʷiə5 n
suyễn	ʂw ʷiə3 n
suyển	ʂw ʷiə4 n
suýt	ʂw ʷi5 t
suỵt	ʂw ʷi6 t
sỹ	ʂ i3
t	t i5
ta	t a1
tá	t a5
tà	t a2
tã	t a3
tả	t a4
tạ	t a6
tác	t a5 k
tấc	t ɤ̆5 k
tắc	t ă5 k
tạc	t a6 k
tặc	t ă6 k
tách	t a5 tʃ
tạch	t a6 tʃ
tai	t a1 j
tái	t a5 j
tài	t a2 j
tãi	t a3 j
tải	t a4 j
tại	t a6 j
tam	t a1 m
tám	t a5 m
tâm	t ɤ̆1 m
tăm	t ă1 m
tấm	t ɤ̆5 m
tầm	t ɤ̆2 m
tắm	t ă5 m
tằm	t ă2 m
tẩm	t ɤ̆4 m
tạm	t a6 m
tậm	t ɤ̆6 m
tan	t a1 n
tán	t a5 n
tàn	t a2 n
tân	t ɤ̆1 n
tăn	t ă1 n
tấn	t ɤ̆5 n
tần	t ɤ̆2 n
tắn	t ă5 n
tằn	t ă2 n
tản	t a4 n
tẩn	t ɤ̆4 n
tẳn	t ă4 n
tận	t ɤ̆6 n
tặn	t ă6 n
tang	t a1 ŋ
táng	t a5 ŋ
tàng	t a2 ŋ
tâng	t ɤ̆1 ŋ
tăng	t ă1 ŋ
tầng	t ɤ̆2 ŋ
tằng	t ă2 ŋ
tảng	t a4 ŋ
tạng	t a6 ŋ
tặng	t ă6 ŋ
tanh	t ɛ1 ɲ
tánh	t ɛ5 ɲ
tành	t ɛ2 ɲ
tạnh	t ɛ6 ɲ
tao	t a1 w
táo	t a5 w
tào	t a2 w
tảo	t a4 w
tạo	t a6 w
táp	t a5 p
tấp	t ɤ̆5 p
tắp	t ă5 p
tạp	t a6 p
tập	t ɤ̆6 p
tát	t a5 t
tất	t ɤ̆5 t
tắt	t ă5 t
tạt	t a6 t
tật	t ɤ̆6 t
táu	t ă5 w
tàu	t ă2 w
tâu	t ɤ̆1 w
tấu	t ɤ̆5 w
tẩu	t ɤ̆4 w
tậu	t ɤ̆6 w
taxi	t æ5 k s i1
tay	t ă1 j
táy	t ă5 j
tày	t ă2 j
tây	t ɤ̆1 j
tấy	t ɤ̆5 j
tầy	t ɤ̆2 j
tẩy	t ɤ̆4 j
te	t ɛ1
té	t ɛ5
tè	t ɛ2
tê	t e1
tẽ	t ɛ3
tế	t e5
tề	t e2
tễ	t e3
tẻ	t ɛ4
tể	t e4
tệ	t e6
téc	t ɛ5 k
tếch	t e5 tʃ
tem	t ɛ1 m
tém	t ɛ5 m
